INFO:root:Frame #58 - 1710344532.7859414: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #59 - 1710344532.786401: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #60 - 1710344532.7868788: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #61 - 1710344532.7888024: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #62 - 1710344532.7935102: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #63 - 1710344532.7965405: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #64 - 1710344532.7978637: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #65 - 1710344532.798475: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #66 - 1710344532.799044: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #67 - 1710344532.7995064: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #68 - 1710344532.799934: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #69 - 1710344532.8003623: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #70 - 1710344532.800798: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #71 - 1710344532.8012466: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #72 - 1710344532.8016644: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #73 - 1710344532.805438: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #74 - 1710344532.8174658: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #75 - 1710344532.819174: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #76 - 1710344532.8210769: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #77 - 1710344532.8218055: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #78 - 1710344532.8225098: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #79 - 1710344532.8286393: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #80 - 1710344532.8294132: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #81 - 1710344532.833936: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #82 - 1710344532.8357441: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #83 - 1710344532.8364906: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #84 - 1710344532.837455: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #85 - 1710344532.8404675: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #86 - 1710344532.842296: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #87 - 1710344532.8455229: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #88 - 1710344532.8463638: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #89 - 1710344532.862721: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #90 - 1710344532.8635151: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #91 - 1710344532.8735664: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #92 - 1710344532.8777204: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
INFO:root:Frame #93 - 1710344532.879695: Source: 00:00:00:00:00:00, Destination: 00:00:00:00:00:00
